count, date
5523641,2019-10-28 12:53:09
5523651,2019-10-28 12:53:19
5523757,2019-10-28 12:53:29
5523764,2019-10-28 12:53:41
5523764,2019-10-28 12:53:49
5523820,2019-10-28 12:54:00
5523839,2019-10-28 12:54:09
5523849,2019-10-28 12:54:20
5523849,2019-10-28 12:54:30
5524025,2019-10-28 12:54:40
5524042,2019-10-28 12:54:50
5524118,2019-10-28 12:55:01
5524118,2019-10-28 12:55:10
5524118,2019-10-28 12:55:20
5524263,2019-10-28 12:55:30
5524318,2019-10-28 12:55:40
5524858,2019-10-28 12:55:50
5524908,2019-10-28 12:56:00
5524924,2019-10-28 12:56:11
5524949,2019-10-28 12:56:20
5524961,2019-10-28 12:56:30
5525033,2019-10-28 12:56:40
5525078,2019-10-28 12:56:50
5525103,2019-10-28 12:57:00
5525158,2019-10-28 12:57:10
5525190,2019-10-28 12:57:20
5525243,2019-10-28 12:57:30
5525274,2019-10-28 12:57:51
5525274,2019-10-28 12:58:00
5525315,2019-10-28 12:58:08
5525315,2019-10-28 12:58:10
5525423,2019-10-28 12:58:21
5525423,2019-10-28 12:58:30
5525439,2019-10-28 12:58:40
5525464,2019-10-28 12:58:50
5525694,2019-10-28 12:59:01
5525704,2019-10-28 12:59:10
5525836,2019-10-28 12:59:21
5525836,2019-10-28 12:59:30
5525866,2019-10-28 12:59:40
5525895,2019-10-28 12:59:51
5525895,2019-10-28 13:00:00
5525946,2019-10-28 13:00:11
5525946,2019-10-28 13:00:20
5526106,2019-10-28 13:00:30
5526245,2019-10-28 13:00:41
5526245,2019-10-28 13:00:50
5526245,2019-10-28 13:01:00
5526382,2019-10-28 13:01:10
5526427,2019-10-28 13:01:20
5526482,2019-10-28 13:01:30
5526543,2019-10-28 13:01:40
5526653,2019-10-28 13:01:50
5526664,2019-10-28 13:02:00
5526670,2019-10-28 13:02:10
5526714,2019-10-28 13:02:21
5526714,2019-10-28 13:02:31
5526724,2019-10-28 13:02:40
5526789,2019-10-28 13:02:51
5526789,2019-10-28 13:03:01
5526853,2019-10-28 13:03:11
5526853,2019-10-28 13:03:21
5526853,2019-10-28 13:03:30
5526896,2019-10-28 13:03:41
5526901,2019-10-28 13:03:51
5526921,2019-10-28 13:04:00
5526952,2019-10-28 13:04:10
5526959,2019-10-28 13:04:22
5526979,2019-10-28 13:04:31
5526999,2019-10-28 13:04:40
5527029,2019-10-28 13:04:51
5527055,2019-10-28 13:05:00
5527128,2019-10-28 13:05:11
5527140,2019-10-28 13:05:20
5527155,2019-10-28 13:05:30
5527171,2019-10-28 13:05:40
5527277,2019-10-28 13:05:50
5527337,2019-10-28 13:06:00
5527351,2019-10-28 13:06:12
5527401,2019-10-28 13:06:22
5527401,2019-10-28 13:06:30
5527429,2019-10-28 13:06:42
5527459,2019-10-28 13:06:52
5527459,2019-10-28 13:07:02
5527540,2019-10-28 13:07:12
5527459,2019-10-28 13:07:20
5527545,2019-10-28 13:07:30
5527556,2019-10-28 13:07:40
5527566,2019-10-28 13:07:50
5527636,2019-10-28 13:08:00
5527646,2019-10-28 13:08:10
5527805,2019-10-28 13:08:22
5527805,2019-10-28 13:08:30
5527863,2019-10-28 13:08:42
5527863,2019-10-28 13:08:52
5527897,2019-10-28 13:09:00
5527918,2019-10-28 13:09:10
5527943,2019-10-28 13:09:20
5529067,2019-10-28 13:09:30
5529147,2019-10-28 13:09:40
5529151,2019-10-28 13:09:50
5529216,2019-10-28 13:10:00
5529379,2019-10-28 13:10:12
5529394,2019-10-28 13:10:20
5529484,2019-10-28 13:10:32
5529606,2019-10-28 13:10:42
5529606,2019-10-28 13:10:50
5529637,2019-10-28 13:11:02
5529637,2019-10-28 13:11:10
5529645,2019-10-28 13:11:22
5529645,2019-10-28 13:11:30
5529755,2019-10-28 13:11:40
5529854,2019-10-28 13:11:52
5529874,2019-10-28 13:12:00
5529906,2019-10-28 13:12:10
5529938,2019-10-28 13:12:20
5529947,2019-10-28 13:12:30
5529949,2019-10-28 13:12:42
5529949,2019-10-28 13:12:50
5530014,2019-10-28 13:13:00
5530079,2019-10-28 13:13:10
5530120,2019-10-28 13:13:20
5530217,2019-10-28 13:13:32
5530217,2019-10-28 13:13:41
5530243,2019-10-28 13:13:52
5530243,2019-10-28 13:14:00
5530253,2019-10-28 13:14:10
5530333,2019-10-28 13:14:21
5530394,2019-10-28 13:14:32
5530394,2019-10-28 13:14:40
5530420,2019-10-28 13:14:51
