epoch, date
1572616384098,11344825
1572616394721,11344936
1572616405648,11345937
1572616414135,11345937
1572616424170,11345942
1572616435566,11345987
1572616444183,11345987
1572616455571,11346010
1572616464184,11346010
1572616474221,11346041
1572616485626,11346081
1572616494185,11346081
1572616505609,11346219
1572616514219,11346219
1572616525613,11346282
1572616534239,11346282
1572616544221,11346333
1572616554802,11346349
1572616565633,11346349
1572616575634,11346516
1572616584256,11346516
1572616594283,11346525
1572616604278,11346551
1572616614863,11346619
1572616625704,11346763
1572616634298,11346763
1572616645714,11346812
1572616654317,11346812
1572616664334,11346822
1572616674344,11346862
1572616685843,11346962
1572616694355,11346962
1572616705859,11346967
1572616714371,11346967
1572616724389,11346978
1572616734390,11347005
1572616744373,11347035
1572616755951,11347151
1572616764413,11347151
1572616775802,11347213
1572616784398,11347259
1572616795817,11347260
1572616804450,11347260
1572616814452,11347301
1572616825834,11347325
1572616835856,11347435
1572616844467,11347435
1572616855859,11347525
1572616864481,11347525
1572616875878,11347855
1572616884515,11347855
1572616894513,11347895
1572616905945,11347962
1572616914530,11347962
1572616925916,11348030
1572616934536,11348030
1572616944525,11348136
1572616956196,11348152
1572616964561,11348152
1572616975950,11348215
1572616986070,11348221
1572616994557,11348221
1572617006160,11348317
1572617015985,11348327
1572617026000,11348327
1572617036008,11348352
1572617046013,11348367
1572617056018,11348367
1572617066034,11348368
1572617074646,11348503
1572617086047,11348503
1572617094661,11348634
1572617106083,11348645
1572617116071,11348660
1572617126078,11348660
1572617134660,11348710
1572617144699,11348815
1572617154707,11348815
1572617164703,11348838
1572617176111,11348989
1572617186116,11349023
1572617196132,11349023
1572617204753,11349049
1572617215324,11349085
1572617226154,11349096
1572617234738,11349096
1572617246182,11349122
1572617256194,11349122
1572617266182,11349402
1572617276191,11349402
1572617286420,11349445
1572617296201,11349456
1572617306316,11349483
1572617316438,11349483
1572617324840,11349483
1572617334847,11349550
1572617344854,11349585
1572617356245,11349601
1572617366258,11349601
1572617374876,11349601
1572617384860,11349632
1572617396278,11349647
1572617406293,11349662
1572617416389,11349667
1572617426311,11349737
1572617434925,11349737
1572617444934,11349769
1572617454945,11349857
1572617464945,11349858
1572617476346,11349923
1572617486343,11349923
1572617496363,11349933
1572617506350,11349938
1572617516365,11350043
1572617524992,11350043
1572617534995,11350095
1572617544977,11350236
1572617556388,11350260
1572617566390,11350305
1572617575013,11350305
1572617584994,11350338
1572617596413,11350441
1572617605020,11350441
1572617615044,11350485
1572617625049,11350532
1572617635048,11350607
1572617646550,11350685
1572617655064,11350685
1572617666450,11350752
1572617676471,11350837
1572617685087,11350837
1572617695106,11350899
1572617706504,11351014
1572617715117,11351014
1572617726507,11351024
1572617736511,11351064
1572617745127,11351064
1572617756519,11351084
1572617765112,11351084
1572617776538,11351224
1572617785131,11351224
1572617795171,11351239
1572617805153,11351286
1572617816565,11351321
1572617825188,11351321
1572617835173,11351327
1572617846607,11351420
1572617855217,11351420
1572617866609,11351526
1572617876628,11351530
1572617885349,11351530
1572617895254,11351565
1572617905366,11351641
1572617915273,11351641
1572617926709,11351741
1572617935257,11351741
1572617946674,11351763
1572617955297,11351763
1572617965302,11351764
1572617976734,11351892
1572617985288,11351892
1572617995317,11352057
1572618006749,11352075
1572618015322,11352075
1572618025349,11352080
1572618036756,11352133
1572618045330,11352133
1572618055336,11352183
1572618066751,11352213
1572618075372,11352254
1572618086786,11352304
1572618095374,11352304
1572618106807,11352318
1572618116780,11352330
1572618125364,11352330
1572618135406,11352331
1572618145969,11352379
1572618156920,11352390
1572618165431,11352390
1572618176816,11352522
1572618185451,11352522
1572618195446,11352562
1572618206934,11352597
1572618215421,11352597
1572618226850,11352657
1572618235453,11352657
1572618245463,11352737
1572618256881,11352744
1572618265482,11352744
1572618275497,11352845
1572618285501,11352852
1572618296893,11352852
1572618307066,11352903
1572618315530,11352903
1572618327097,11352929
1572618335598,11352929
1572618345555,11352934
1572618355562,11352940
1572618367090,11352963
1572618377478,11352983
1572618385587,11352983
1572618396983,11353038
1572618405639,11353038
1572618417037,11353041
1572618425621,11353041
1572618437018,11353083
1572618445631,11353083
1572618455614,11353113
1572618467063,11353140
1572618475627,11353140
1572618487059,11353203
1572618495664,11353203
1572618507178,11353263
1572618517085,11353319
1572618527094,11353351
1572618537087,11353361
1572618547101,11353362
1572618557113,11353377
1572618567108,11353407
1572618577122,11353407
1572618585747,11353532
1572618597141,11353546
1572618605764,11353546
1572618617164,11353566
1572618627161,11353609
1572618637164,11353616
1572618647179,11353626
1572618657184,11353626
1572618667183,11353645
1572618677180,11353656
1572618687201,11353691
1572618697191,11353691
1572618707211,11353713
1572618717202,11353795
1572618727210,11353795
1572618737231,11353851
1572618745817,11353851
1572618755818,11353866
1572618765866,11353897
1572618775866,11353897
1572618787303,11354039
1572618795890,11354039
1572618805992,11354064
1572618815909,11354070
1572618827295,11354126
1572618835993,11354156
1572618847318,11354216
1572618857314,11354281
1572618867316,11354317
1572618877319,11354345
1572618887346,11354377
1572618897351,11354422
1572618907358,11354460
1572618917363,11354466
1572618927372,11354732
1572618937388,11354837
1572618947383,11354884
1572618957411,11354885
1572618967411,11355013
1572618977409,11355025
1572618987415,11355309
1572618997429,11355345
1572619007428,11355385
1572619017543,11355405
1572619026056,11355405
1572619037438,11355458
1572619047457,11355651
1572619056632,11355651
1572619067484,11355802
1572619077479,11355804
1572619087500,11355863
